ActivityBucket	Department	Project	Status	Archive?	Category	Language	Live	Beta	LastUpdate	DueDate	Involved	GitHub	Telegram	Linked Project	Description	Notes	IP	Framework
active	Sigmanauts	Erg0ne	Active	False			True	False	2024-11-15		Giufa							
active	Sigmanauts	Facebook & Instagram Management	Active	False			True	False	2024-11-15		Glasgow							
active	Ecosystem	Machina Finance	Active	False	Off-chain	JS/TS	False	False	2024-04-02		"""Allison """	https://github.com/nautls/machina-finance						
active	Sigmanauts	Spending Proposals	Active	False			False	False	2024-03-12									
active	Ecosystem	ChainCash	Active	False			False	False	2024-03-06	2024-03-06	kushti							
active	Ecosystem	SigmaUSD	Active	False			True	False	2024-02-26	2024-02-23	anon-real		https://t.me/SigmaUSD					
active	Sigmanauts	Market Maker Management	In progress	False			False	False	2024-02-22		qx, cannon							
active	Sigmanauts	Twitter Marketing	In progress	False			False	False	2024-02-16	2024-02-08	qx							
active	Wallets	Nautilus	Active	False	Wallets	JS/TS	True	False	2024-02-14		"""Allison """	https://github.com/nautls/nautilus-wallet						
active	Integrations	coingecko	In progress	False			False	False	2024-02-11		Glasgow							
active	Integrations	Defillama	In progress	False			False	False	2024-02-08		wombo							
active	Ecosystem	Rosen	Active	False		JS/TS, Scala	True	False	2024-02-07	2023-12-20	mhs, Armeanio, CW, Mohammed Kermani, Fateme Rahmani, Zargarzadeh, vorujack, SepherGanji							
active	Ecosystem	CruxFinance	Active	False		Scala, Rust, JS/TS	True	False	2024-02-07		Noah, Luivatra, Marty	https://github.com/cruxfinance						
active	Ecosystem	GuapSwap	Active	False	Mining		True	False	2024-02-07		lgd							
active	Ecosystem	Lithos	Active	False	Mining		False	False	2024-02-07		cheeseenthusiast							
active	Sigmanauts	Sig-Mining Pool	In progress	False			True	False	2024-02-07		qx, cannon							
active	Wallets	Ergo Wallet (Terminus)	In progress	False			True	False	2024-02-07		morphic, MrStahlfelge							
active	Websites	docs.ergoplatform.org	In progress	False			False	False	2024-02-07		Glasgow							
active	Integrations	livecoinwatch	In progress	False			False	False	2024-02-06	2023-05-21								
active	Ecosystem	Paideia	Active	False			True	False	2024-02-06	2024-01-24	Luivatra, noob77777		https://t.me/paideiaDAO					
active	Ecosystem	Pheonix Finance	Active	False			True	False	2024-02-06	2024-01-24	MGpai, lgd							
active	Ecosystem	Reputation System	Active	False			False	True	2024-02-06	2024-01-24	jossemii							
active	Websites	website maintenance	In progress	False			False	False	2024-02-06	2024-02-16	Glasgow, Dmitry Usov							
active	Ecosystem	BlitzTCG	Active	False			False	True	2024-02-06	2024-03-31	lgd, LowKeyNerd							
active	Ecosystem	DexyGold	In progress	False			False	True	2024-02-06		kushti, code-for-us, scalahub		https://t.me/dexygold					
active	Integrations	Coinmarketcap	In progress	False			False	False	2024-02-06		Glasgow, qx							
active	Ecosystem	Analog-Ergo	Active	False	P2P		False	False			deathgripson							
active	Ecosystem	Auction Coin	Active	False			True	False			anon-real	https://auctioncoin.app/						
active	Ecosystem	AuctionHouse	Active	False	NFTs		True	False			anon-real		https://t.me/ergoauctionhouse					
active	Ecosystem	Bitmasks	Active	False			False	False			c8							
active	Ecosystem	COMET	Active	False			False	False			MGpai		https://t.me/CometErgoCommunity					
active	Ecosystem	ChainCash	In progress	False			False	True			kushti, Ross Weir							
active	Ecosystem	CruxHarmony	Active	False		Rust	False	False			Luivatra	https://github.com/cruxfinance/crux-harmony						
active	Ecosystem	CyberVerse	Active	False			True	False			pxl		https://t.me/CyberVersegame					
active	Ecosystem	EXLE	In progress	False			False	True			Magic, Chris Ray		https://t.me/ErgoLend					
active	Ecosystem	ErgOne	Active	False			True	False			Giufa							
active	Ecosystem	ErgoMixer	Active	False	Cryptographic		True	False			anon2020s, aragogi							
active	Ecosystem	ErgoRaffle	Active	False			True	False			mhs, Fateme Rahmani, Zargarzadeh							
active	Ecosystem	Ergonames	In progress	False	DNS	Scala, JS/TS	False	False			MGpai, lgd, Zack Balbin	https://github.com/ergonames						
active	Ecosystem	Ergonomes	Active	False			False	False			TanBeige							
active	Ecosystem	Ergopad	Active	False			True	False			Luivatra, Marty		https://t.me/ergopad_chat					
active	Ecosystem	Ergosaurs	Active	False			False	False			TanBeige							
active	Ecosystem	GluonGold	Active	False			False	False			Bruno		https://t.me/GluonGold					
active	Ecosystem	Grand Gambit	Active	False			True	False										
active	Ecosystem	Hodlbox	Active	False			True	False			c8							
active	Ecosystem	Hodlcoin	Active	False			True	False			Pulsarz							
active	Ecosystem	Lilium 	Active	False	NFTs	Scala, JS/TS, Python	True	False			lgd	https://github.com/LiliumErgo						
active	Ecosystem	Mew Finance	Active	False			True	False			Aco Smrkas, HQ							
active	Ecosystem	Netnotes	Active	False	Interaction	Java	False	True				https://github.com/networkspore/Netnotes-Linux/releases/tag/v0.2.0c-beta						
active	Ecosystem	Palmyra	Active	False			False	True			MGpai, lgd		https://t.me/zengate_global					
active	Ecosystem	Pratir	In progress	False	NFTs	JS/TS	False	False			Marty	https://github.com/ergopad/pratir-frontend						
active	Ecosystem	SigmaFi	Active	False			True	False			"""Allison "", cheeseenthusiast"		https://t.me/sigmafi					
active	Ecosystem	SigmaO	Active	False			False	True			haileypdll		https://t.me/SigmaOpts					
active	Ecosystem	SkyHarbor	Active	False	NFTs		True	False			TanBeige							
